Symbol,Name
280,FEVR.L,Fevertree Drinks Plc
281,3V64.DE,Visa Inc.
282,IMI.L,IMI plc
283,0XXV.L,Atlas Copco AB
284,ASHM.L,Ashmore Group PLC
285,0HTP.L,AB Volvo (publ)
286,SMSD.L,"Samsung Electronics Co., Ltd."
287,0KZC.L,SPDR S&P 500 ETF TRUST SPDR S&P
288,SMSN.L,"Samsung Electronics Co., Ltd."
289,COB.L,Cobham plc
290,QACL.DU,Barclays Bank PLC 4.75%-FRN T1 PERP EUR10000'EURO T1''REGS
291,TLW.L,Tullow Oil plc
292,MDC.L,Mediclinic International plc
293,KAZ.L,KAZ Minerals PLC
294,R6C2.F,Royal Dutch Shell plc
295,ATST.L,Alliance Trust PLC
296,BC94.L,"Samsung Electronics Co., Ltd."
297,INPP.L,International Public Partnerships Limited
298,0GUX.L,Skandinaviska Enskilda Banken AB (publ.)
299,0R2F.L,Wells Fargo & Company
300,BBA.L,BBA Aviation plc
301,INCH.L,Inchcape plc
302,ECM.L,Electrocomponents plc
303,R6C.DE,Royal Dutch Shell plc
304,R6C3.DE,Royal Dutch Shell plc
305,R6C.F,Royal Dutch Shell plc
306,WMT.DE,Walmart Inc.
307,WMT.F,Walmart Inc.
308,R6C3.F,Royal Dutch Shell plc
309,R6C1.F,Royal Dutch Shell plc
310,QLT.L,Quilter plc
311,NESN.MI,Nestlé S.A.
312,NESR.F,Nestlé S.A.
313,UTG.L,The Unite Group plc
314,NESM.F,Nestlé S.A.
315,NESR.DE,Nestlé S.A.
316,NESM.DE,Nestlé S.A.
317,0R2Q.L,Chevron Corporation
318,ROR.L,Rotork plc
319,BVIC.L,Britvic plc
320,3IN.L,3i Infrastructure plc
321,PFE.F,Pfizer Inc.
322,CBG.L,Close Brothers Group plc
323,PFE.DE,Pfizer Inc.
324,DPH.L,Dechra Pharmaceuticals PLC
325,NCB.F,Bank of America Corporation
326,IGG.L,IG Group Holdings plc
327,NCB.DE,Bank of America Corporation
328,ABC.L,Abcam plc
329,0QQ6.L,Roche Holding AG
330,DMGT.L,Daily Mail and General Trust plc
331,UNH.F,UnitedHealth Group Incorporated
332,ICK.F,Industrial and Commercial Bank of China Limited
333,CNS.SG,China Steel Corporation
334,C6T.F,China Construction Bank Corporation
335,HAS.L,Hays plc
336,WIZZ.L,Wizz Air Holdings Plc
337,EMG.L,Man Group plc
338,0R7R.L,Svenska Handelsbanken AB (publ)
339,PRG.DE,The Procter & Gamble Company
340,YPFD.BA,YPF Sociedad Anonima
341,BAC.DE,Verizon Communications Inc.
342,BBOX.L,Tritax Big Box REIT plc
343,CAPC.L,Capital & Counties Properties PLC
344,PRG.F,The Procter & Gamble Company
345,PGP.PA,The Procter & Gamble Company
346,SSU.F,"Samsung Electronics Co., Ltd."
347,BAC.F,Verizon Communications Inc.
348,SSUN.F,"Samsung Electronics Co., Ltd."
349,VCT.L,Victrex plc
350,ISAT.L,Inmarsat Plc
351,NWT.DE,Wells Fargo & Company
352,0R2Z.L,Mastercard Incorporated
353,NWT.F,Wells Fargo & Company
354,GPOR.L,Great Portland Estates Plc
355,SOBA.F,AT&T Inc.
356,NEX.L,National Express Group PLC
357,AGK.L,Aggreko Plc
358,IWG.L,IWG PLC
359,SOBA.DE,AT&T Inc.
360,SMWH.L,WH Smith PLC
361,ROG.MI,Roche Holding AG
362,RHO5.DE,Roche Holding AG
363,RHO5.F,Roche Holding AG
364,RHO.DE,Roche Holding AG
365,CPI.L,Capita plc
366,0O77.L,A.P. Møller - Mærsk A/S
367,RHO.F,Roche Holding AG
368,CELU.BA,Celulosa Argentina S.A.
369,INL.F,Intel Corporation
370,RHO6.F,Roche Holding AG
371,ASC.L,ASOS Plc
