,Symbol,Name
2001,TCS.BO,Tata Consultancy Services Limited
2002,RELIANCE.BO,Reliance Industries Limited
2003,RELIANCE.NS,Reliance Industries Limited
2004,2330.TW,Taiwan Semiconductor Manufacturing Company Limited
2005,HDFCBANK.BO,HDFC Bank Limited
2006,HDFCBANK.NS,HDFC Bank Limited
2007,HINDUNILVR.NS,Hindustan Unilever Limited
2008,HINDUNILVR.BO,Hindustan Unilever Limited
2009,ITC.NS,ITC Limited
2010,ITC.BO,ITC Limited
2011,HDFC.NS,Housing Development Finance Corporation Limited
2012,HDFC.BO,Housing Development Finance Corporation Limited
2013,0700.HK,Tencent Holdings Limited
2014,INFY.BO,Infosys Limited
2015,INFY.NS,Infosys Limited
2016,SBIN.NS,State Bank of India
2017,SBIN.BO,State Bank of India
2018,KOTAKBANK.NS,Kotak Mahindra Bank Limited
2019,KOTAKBANK.BO,Kotak Mahindra Bank Limited
2020,ICICIBANK.BO,ICICI Bank Limited
2021,ICICIBANK.NS,ICICI Bank Limited
2022,MARUTI.BO,Maruti Suzuki India Limited
2023,MARUTI.NS,Maruti Suzuki India Limited
2024,LT.NS,Larsen & Toubro Limited
2025,LT.BO,Larsen & Toubro Limited
2026,ONGC.NS,Oil and Natural Gas Corporation Limited
2027,ONGC.BO,Oil and Natural Gas Corporation Limited
2028,1398.HK,Industrial and Commercial Bank of China Limited
2029,0939.HK,China Construction Bank Corporation
2030,STAN.BO,Standard Chartered PLC
2031,AXISBANK.NS,Axis Bank Limited
2032,AXISBANK.BO,Axis Bank Limited
2033,601939.SS,China Construction Bank Corporation
2034,COALINDIA.NS,Coal India Limited
2035,601398.SS,Industrial and Commercial Bank of China Limited
2036,COALINDIA.BO,Coal India Limited
2037,0941.HK,China Mobile Limited
2038,BAJFINANCE.NS,Bajaj Finance Limited
2039,BAJFINANCE.BO,Bajaj Finance Limited
2040,WIPRO.NS,Wipro Limited
2041,WIPRO.BO,Wipro Limited
2042,0857.HK,PetroChina Company Limited
2043,HCLTECH.NS,HCL Technologies Limited
2044,HCLTECH.BO,HCL Technologies Limited
2045,ASIANPAINT.NS,Asian Paints Limited
2046,ASIANPAINT.BO,Asian Paints Limited
2047,PTT.BK,PTT Public Company Limited
2048,PTT-R.BK,PTT Public Company Limited
2049,0005.HK,HSBC Holdings plc
2050,2318.HK,"Ping An Insurance (Group) Company of China, Ltd."
2051,601857.SS,PetroChina Company Limited
2052,IOC.BO,Indian Oil Corporation Limited
2053,IOC.NS,Indian Oil Corporation Limited
2054,BHARTIARTL.BO,Bharti Airtel Limited
